question,answer
"Em thấy trong đề án có ghi:  Phương thức 2. Xét tuyển thẳng theo Đề án của Trường ĐHKHTN + Thí sinh thuộc đối tượng ưu tiên xét tuyển, dự bị đại học, xét tuyển thẳng theo Đề án và Quy định đặc thù, Hướng dẫn tuyển sinh của ĐHQGHN. Mọi người cho e hỏi phần hướng dẫn tuyển sinh của ĐHQGHN có thể đọc ở đâu ạ (vì trong đề án không gắn link ạ)","Bạn có thể xem Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023 ban hành ""Quy chế tuyển sinh đại học chính quy tại Đại học Quốc gia Hà Nội"" tại trang web VNU với đường link https://vnu.edu.vn/home/?netoffice/N2608/1328-Qd-dHQGHN.htm Các ""Hướng dẫn tuyển sinh"" cụ thể hơn cho từng năm hoặc các quy định đặc thù (nếu có) thường được công bố trên Cổng thông tin tuyển sinh chính thức của ĐHQGHN (vnu.edu.vn) hoặc của Trường Đại học Khoa học Tự nhiên (tuyensinh.hus.vnu.edu.vn). Bạn nên kiểm tra các cổng thông tin này để tìm văn bản hướng dẫn cụ thể của năm bạn quan tâm. Nếu gặp khó khăn trong việc tìm kiếm thông tin, bạn có thể liên hệ với nhà trường để được tư vấn (số điện thoại 0243-8584615) hoặc email hus@vnu.edu.vn)."
Theo như đề án thì sẽ không có phương thức xét riêng học bạ cho học sinh hệ chuyên (không thuộc ĐHQGHN) đúng không ạ?,"Đúng vậy nếu theo Đề án tuyển sinh năm 2024 của Trường ĐH Khoa học Tự nhiên (kèm theo Quyết định 1616/QĐ-ĐHKHTN ngày 31/5/2024), không có phương thức xét tuyển nào được mô tả là chỉ dựa riêng vào học bạ THPT dành cho học sinh hệ chuyên của các trường THPT không thuộc ĐHQGHN.
Mục 1.3, Phần II của Đề án liệt kê 6 phương thức xét tuyển chính thức mà Trường ĐHKHTN sử dụng trong năm 2024, bao gồm:
Xét tuyển thẳng theo Quy chế của Bộ GD&ĐT.
Xét tuyển thẳng/Ưu tiên xét tuyển theo Đề án của Trường ĐHKHTN (dựa trên các quy định đặc thù của ĐHQGHN và các tiêu chí về giải thưởng, thành tích học tập).
Xét kết quả thi tốt nghiệp THPT.
Xét kết quả thi Đánh giá năng lực (ĐGNL) do ĐHQGHN tổ chức.
Chỉ sử dụng chứng chỉ quốc tế (A-Level, SAT, ACT).
Kết hợp kết quả thi tốt nghiệp THPT với chứng chỉ tiếng Anh quốc tế (IELTS hoặc tương đương).
Trong 6 phương thức này, không có phương thức nào được định nghĩa là chỉ xét riêng học bạ cho đối tượng học sinh trường chuyên ngoài ĐHQGHN.
Tuy nhiên, học sinh thuộc các trường THPT chuyên (có trong danh sách quy định của Trường ĐHKHTN) vẫn có thể được xét tuyển hoặc ưu tiên xét tuyển theo Phương thức 2 nếu đáp ứng các tiêu chí về giải thưởng và thành tích học tập cụ thể được nêu tại Mục 1.8.3.3 của Đề án, chứ không chỉ dựa vào học bạ. Hoặc các bạn vẫn có thể tham gia xét tuyển bằng các phương thức khác như điểm thi THPT (Phương thức 3) hay điểm thi ĐGNL (Phương thức 4) như các thí sinh khác.
"
"Xin cho em hỏi, khi nào sẽ có lịch đăng ký xét tuyển bằng điểm thi Đánh giá năng lực (ĐGNL) ạ? Em xin cảm ơn.","Kịch bản 1: Chưa biết thông tin
 Hiện tại, tôi chưa có thông tin nào về lịch đăng kí xét tuyển bằng điểm thi Đánh giá năng lực. Trước đó, năm 2024, trường đã mở đăng kí từ ngày 05/6/2024 đến 17h00 ngày 25/6/2024.  Bạn có thể tra cứu trên các website của trường như hus.vnu.edu.vn,  tuyensinh.hus.vnu.edu.vn,... các fanpage, group của nhà trường, các anh chị sinh viên thành lập. 
Kịch bản 2: Đã có thông tin
 Nhà trường đã thông báo mở công đăng kí từ ngày dd:mm:yyyy đến thời hêt HH:mm ngày dd:mm:yyyy. Bạn lưu ý mốc thời gian, chủ động đăng kí đúng thời hạn. Nếu có khó khăn trong quá trình đăng kí, hãy liên hệ hotline (84) 0243-8584615 hoặc email hus@vnu.edu.vn để được tư vấn hỗ trợ. "
"Cho em hỏi, để nộp đơn đăng ký theo phương thức xét tuyển thẳng thì cần làm những gì ạ?","Theo như thông báo tuyển sinh và đề án tuyển sinh năm 2024 của Trường Đại học Khoa học Tự nhiên (ĐHKHTN), để nộp đơn đăng ký theo dạng xét tuyển thẳng, bạn cần thực hiện các bước sau:

Chuẩn bị Hồ sơ:

Bản sao hợp lệ Giấy chứng nhận đạt giải trong các kỳ thi (Olympic quốc tế, khu vực, quốc gia), cuộc thi khoa học kỹ thuật (quốc tế, quốc gia), hoặc các giấy tờ xác nhận đối tượng ưu tiên khác (Anh hùng lao động, người khuyết tật, dân tộc thiểu số rất ít người, v.v.) tùy theo trường hợp xét tuyển thẳng cụ thể mà bạn thuộc diện.   
Bản sao hợp lệ Học bạ 3 năm học THPT.   
Đối với thí sinh là người nước ngoài: Cần thêm đơn xin học, bằng tốt nghiệp/giấy chứng nhận tốt nghiệp THPT tạm thời, kết quả kiểm tra kiến thức và trình độ ngoại ngữ theo yêu cầu.   
Đối với thí sinh đã trúng tuyển các năm trước nhưng bảo lưu: Cần đơn xin bảo lưu kèm giấy tờ minh chứng lý do bảo lưu (quyết định đi nghĩa vụ quân sự, hồ sơ y tế,...).   
Nộp hồ sơ trực tuyến:

Bạn cần nộp hồ sơ đăng ký xét tuyển thẳng trực tuyến tại địa chỉ: http://xettuyendaihoc.hus.vnu.edu.vn.   
Thời gian nộp hồ sơ: trước 17 giờ 00 ngày 25/6/2024.   
Nộp lệ phí:

Lệ phí đăng ký xét tuyển thẳng là 30.000đ/hồ sơ.   
Chờ kết quả:

Kết quả xét tuyển thẳng dự kiến sẽ được công bố trước ngày 10/7/2024 trên website của Trường ĐHKHTN: https://www.google.com/search?q=http://tuyensinh.hus.vnu.edu.vn.   
Lưu ý rằng các đối tượng xét tuyển thẳng cụ thể được quy định chi tiết trong Quy chế tuyển sinh của Bộ GD&ĐT và Đề án tuyển sinh của Trường ĐHKHTN năm 2024."
Mọi người cho em hỏi khi nào có lịch đăng ký xét tuyển theo điểm SAT ạ?,"Kịch bản 1: Chưa biết thông tin
 Hiện tại, tôi chưa có thông tin nào về lịch đăng kí xét tuyển bằng điểm thi SAT. Trước đó, năm 2024, trường đã mở đăng kí từ ngày 05/6/2024 đến 17h00 ngày 25/6/2024.  Bạn có thể tra cứu trên các website của trường như hus.vnu.edu.vn,  tuyensinh.hus.vnu.edu.vn,... các fanpage, group của nhà trường, các anh chị sinh viên thành lập. 
Kịch bản 2: Đã có thông tin
 Nhà trường đã thông báo mở công đăng kí từ ngày dd:mm:yyyy đến thời hêt HH:mm ngày dd:mm:yyyy. Bạn lưu ý mốc thời gian, chủ động đăng kí đúng thời hạn. Nếu có khó khăn trong quá trình đăng kí, hãy liên hệ hotline (84) 0243-8584615 hoặc email hus@vnu.edu.vn để được tư vấn hỗ trợ. "
Anh chị cho em hỏi trường mình đã bắt đầu xét tuyển bằng điểm thi Đánh giá năng lực chưa ạ?,"Kịch bản 1: Chưa biết thông tin
 Hiện tại, tôi chưa có thông tin nào về lịch đăng kí xét tuyển bằng điểm thi Đánh giá năng lực. Trước đó, năm 2024, trường đã mở đăng kí từ ngày 05/6/2024 đến 17h00 ngày 25/6/2024.  Bạn có thể tra cứu trên các website của trường như hus.vnu.edu.vn,  tuyensinh.hus.vnu.edu.vn,... các fanpage, group của nhà trường, các anh chị sinh viên thành lập. 
Kịch bản 2: Đã có thông tin
 Nhà trường đã thông báo mở công đăng kí từ ngày dd:mm:yyyy đến thời hêt HH:mm ngày dd:mm:yyyy. Bạn lưu ý mốc thời gian, chủ động đăng kí đúng thời hạn. Nếu có khó khăn trong quá trình đăng kí, hãy liên hệ hotline (84) 0243-8584615 hoặc email hus@vnu.edu.vn để được tư vấn hỗ trợ. "
"Mọi người cho em hỏi, chỉ tiêu của mỗi phương thức tuyển sinh được phân bổ như thế nào vậy ạ?",Bạn muốn hỏi chỉ tiêu tuyển sinh của ngành nào?
Phương thức Xét tuyển thẳng và Ưu tiên xét tuyển có giới hạn chỉ tiêu.,"Có, phương thức Xét tuyển thằng và Ưu tiên xét tuyển đều có chỉ tiêu nhất định, số lượng có thể thay đổi theo từng Đề án của mỗi năm."
Phương thức XTT và ƯTXT có cần phải đạt ngưỡng điểm đảm bảo chất lượng đầu vào không? Nếu có thì cần bao nhiêu điểm?,"Có sự khác biệt giữa Xét tuyển thẳng (XTT) theo Quy chế Bộ GD&ĐT và Ưu tiên xét tuyển (ƯTXT) theo Đề án của Trường/ĐHQGHN:

    Đối với Xét tuyển thẳng (XTT) theo Quy chế Bộ GD&ĐT (Phương thức 1): Theo Khoản 7, Điều 2, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023, đây là việc công nhận trúng tuyển đối với các đối tượng được quy định tại Quy chế của Bộ GD&ĐT và không cần xét tới ngưỡng đầu vào.
    Đối với Ưu tiên xét tuyển (ƯTXT) theo Đề án của Trường (Phương thức 2): Theo Mục 1.8.5, Phần II, Đề án tuyển sinh năm 2024 (kèm theo Quyết định 1616/QĐ-ĐHKHTN ngày 31/5/2024), các thí sinh thuộc diện ưu tiên xét tuyển phải có kết quả thi tốt nghiệp THPT năm 2024 đạt ngưỡng đảm bảo chất lượng đầu vào do ĐHQGHN quy định và ngưỡng yêu cầu của Trường ĐHKHTN theo từng ngành. Như vậy, XTT theo Quy chế Bộ GD&ĐT thì không cần, nhưng ƯTXT theo Đề án của Trường thì có cần đạt ngưỡng đảm bảo chất lượng đầu vào. Mức điểm ngưỡng cụ thể sẽ được ĐHQGHN và Trường ĐHKHTN công bố sau, theo kế hoạch chung của Bộ GD&ĐT."
Cho em là nếu em xét tuyển bằng ĐGNL thì trường có cơ chế lọc ảo nào để tránh một số bạn điểm cao rải nguyện vọng nhiều trường không?,"Có, hệ thống tuyển sinh chung của Bộ GD&ĐT và ĐHQGHN có cơ chế xử lý nguyện vọng (lọc ảo) hiệu quả. Theo Điều 16, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023, sau khi các trường tải lên danh sách thí sinh dự kiến đủ điều kiện trúng tuyển theo các phương thức (bao gồm cả ĐGNL), hệ thống xử lý nguyện vọng sẽ tự động lọc và xác định nguyện vọng cao nhất mà thí sinh đủ điều kiện trúng tuyển. Điều này có nghĩa là, dù một thí sinh đủ điều kiện trúng tuyển vào nhiều ngành/trường khác nhau, hệ thống sẽ chỉ xác nhận thí sinh đó trúng tuyển vào một nguyện vọng duy nhất - là nguyện vọng có ưu tiên cao nhất trong số các nguyện vọng đủ điều kiện. Cơ chế này giúp đảm bảo mỗi thí sinh chỉ trúng tuyển một chỗ, giảm thiểu tình trạng thí sinh ảo."
"Em đăng kí diện xét tuyển thẳng vào trường ĐH KHTN thì ngoài nộp hồ sơ trực tuyến qua đường link tuyển sinh của Trường, có cần thêm thủ tục khác (như nộp hồ sơ bản cứng) nữa không ạ?","Theo Mục 1.8.6, Phần II, Đề án tuyển sinh năm 2024 (kèm theo Quyết định 1616/QĐ-ĐHKHTN ngày 31/5/2024), việc đăng ký xét tuyển thẳng (XTT) và ưu tiên xét tuyển (ƯTXT) tại Trường ĐHKHTN được thực hiện theo hình thức trực tuyến. Đề án và Quy chế tuyển sinh (Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023, Điều 13) không yêu cầu nộp hồ sơ bản cứng ngay tại thời điểm đăng ký trực tuyến này. Tuy nhiên, bạn cần lưu ý rằng sau khi có kết quả trúng tuyển và đến làm thủ tục nhập học, nhà trường sẽ yêu cầu bạn nộp các giấy tờ gốc và bản sao công chứng (bao gồm cả các minh chứng cho diện XTT/ƯTXT) để kiểm tra, đối chiếu thông tin đã khai báo. Hãy theo dõi kỹ các thông báo và hướng dẫn cụ thể trên website tuyển sinh của Trường ĐHKHTN. Lưu ý rằng, đề án tuyển sinh có thể thay đổi theo từng năm, bạn cần cập nhật thông tin theo đề án mới nhất trên trang web tuyensinh.hus.vnu.edu.vn."
Ở mục Thông tin phục vụ xét tuyển có chỗ chọn Đối tượng ưu tiên. Vậy các Đối tượng ưu tiên này được định nghĩa như thế nào ạ. Có phải là các đối tượng này định nghĩa theo quy định của Bộ ko ạ.,"Đúng, các đối tượng ưu tiên trong tuyển sinh được định nghĩa theo quy định của Bộ Giáo dục và Đào tạo và được áp dụng thống nhất tại ĐHQGHN. Danh sách chi tiết các đối tượng chính sách ưu tiên được quy định tại Phụ lục II, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023, bao gồm 2 nhóm chính:  

        Nhóm Ưu tiên 1 (UT1 - được cộng 2.0 điểm): Gồm các đối tượng như Công dân Việt Nam là người dân tộc thiểu số có hộ khẩu thường trú tại Khu vực 1 trên 18 tháng trong thời gian học THPT/trung cấp; Công nhân trực tiếp sản xuất 5 năm liên tục (2 năm thi đua); Thương binh, bệnh binh, người hưởng chính sách như thương binh; Quân nhân/Công an tại ngũ được cử đi học có thời gian phục vụ theo quy định; Con liệt sĩ; Con thương binh/bệnh binh/người hưởng chính sách như thương binh bị suy giảm khả năng lao động từ 81% trở lên; Con người hoạt động kháng chiến bị nhiễm chất độc hóa học suy giảm khả năng lao động từ 81% trở lên; Con Anh hùng LLVTND, con Anh hùng Lao động...
        Nhóm Ưu tiên 2 (UT2 - được cộng 1.0 điểm): Gồm các đối tượng như Thanh niên xung phong tập trung được cử đi học; Quân nhân/Công an tại ngũ được cử đi học có thời gian phục vụ ngắn hơn quy định ở UT1; Con thương binh/bệnh binh/người hưởng chính sách như thương binh suy giảm khả năng lao động dưới 81%; Con người hoạt động kháng chiến bị nhiễm chất độc hóa học suy giảm khả năng lao động dưới 81%; Người khuyết tật nặng; Người lao động ưu tú cấp tỉnh/bộ trở lên; Giáo viên đủ 3 năm công tác dự thi ngành sư phạm; Y tá, dược tá... đủ 3 năm công tác dự thi ngành sức khỏe. (Lưu ý: Mức điểm cộng này áp dụng cho thang điểm 30, sẽ được quy đổi tương ứng với thang điểm 40 hoặc thang điểm ĐGNL 150 theo quy định)."
